SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-381	0	223.296	18.1719	1
hsa-miR-382	0	62.787	6.31476	1
hsa-miR-383	0	0.00291429	1.9876	0
hsa-miR-384	0	-0.491959	3.42262	0
hsa-miR-409-3p	0	252.608	18.3743	1
hsa-miR-409-5p	0	50.2621	3.68473	1
hsa-miR-410	0	435.229	30.963	1
hsa-miR-411	0	45.6484	4.37472	1
hsa-miR-411*	0	8.71248	1.90092	1
hsa-miR-412	0	0.397481	1.71287	0
hsa-miR-421	0	76.5826	7.27303	1
hsa-miR-422a	0	-1.87247	1.71097	0
hsa-miR-423-3p	0	103.124	7.41597	1
hsa-miR-423-5p	0	749.798	68.6721	1
hsa-miR-424	0	1029.99	82.2322	1
hsa-miR-424*	0	-0.971126	2.42025	0
hsa-miR-425	0	5578.55	453.392	1
hsa-miR-425*	0	22.0399	3.02163	1
hsa-miR-429	0	11.3269	2.56738	1
hsa-miR-431	0	249.347	22.1885	1
hsa-miR-431*	0	1.57858	1.71944	0
hsa-miR-432	0	162.997	12.9446	1
hsa-miR-432*	0	2.80567	1.72359	0
hsa-miR-433	0	23.3137	3.42046	1
hsa-miR-448	0	-0.241418	1.71357	0
hsa-miR-449a	0	10.6606	2.59315	1
hsa-miR-449b	0	-2.19693	1.98307	0
hsa-miR-450a	0	11.7838	2.57311	1
hsa-miR-450b-3p	0	-0.0661474	1.71136	0
hsa-miR-450b-5p	0	0.475014	1.713	0
hsa-miR-451	0	17738.1	1287.35	1
hsa-miR-452	0	27.9678	3.2032	1
hsa-miR-452*	0	-0.534145	1.71773	0
hsa-miR-453	0	-1.40073	1.71139	0
hsa-miR-454	0	566.666	52.4546	1
hsa-miR-454*	0	54.4992	4.34102	1
hsa-miR-455-3p	0	-1.84871	2.42045	0
hsa-miR-455-5p	0	0.510177	2.42183	0
hsa-miR-483-3p	0	7.65959	2.48259	0
hsa-miR-483-5p	0	-1.132	2.42001	0
hsa-miR-484	0	1155.81	94.9652	1
hsa-miR-485-3p	0	125.399	11.1903	1
hsa-miR-485-5p	0	10.0385	2.17039	1
hsa-miR-486-3p	0	104.523	8.88	1
hsa-miR-486-5p	0	3127.81	235.802	1
hsa-miR-487a	0	19.7354	3.01676	1
hsa-miR-487b	0	234.744	19.9707	1
hsa-miR-488	0	0.966046	2.42915	0
