	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1652205	175.8785	232.8356	224.5701	180.8204	183.131
ILMN_1652206	141.3704	121.874	120.7604	120.7441	118.4469
ILMN_1652207	11764.52	11089.5	15129.57	12729.03	12759.62
ILMN_1652209	116.2678	118.3912	125.3875	121.4574	126.5015
ILMN_1652215	119.6154	125.6072	113.0046	618.1152	519.5476
ILMN_1652218	5631.375	2723.345	2838.725	124.6708	121.4442
ILMN_1652219	161.0646	141.1603	134.355	155.2969	119.484
ILMN_1652223	107.2285	124.4554	118.8106	186.1677	208.8605
ILMN_1652230	132.0983	190.6123	148.2658	23340.9	27472.67
ILMN_1652236	119.933	140.828	124.2483	131.7386	133.277
ILMN_1652237	282.2308	304.7689	397.3832	379.951	215.86
ILMN_1652242	119.7535	139.3424	154.9406	191.0988	164.1672
ILMN_1652243	135.0261	117.2486	146.0402	125.1405	120.3107
ILMN_1652244	1203.807	1143.922	1300.748	134.5783	118.2022
ILMN_1652246	752.1246	822.0325	764.6816	318.4722	293.4799
ILMN_1652248	23068.55	26143.25	28331.91	142.4415	121.4593
ILMN_1652249	549.3815	492.5071	344.2004	123.6984	159.2816
ILMN_1652254	128.1656	129.641	118.2757	132.3556	137.2959
ILMN_1652259	121.8314	129.5575	128.5257	134.2542	122.8898
ILMN_1652276	129.8254	128.0391	147.7115	123.6763	122.6321
ILMN_1652277	800.3392	844.6744	486.1505	140.1257	130.9872
ILMN_1652280	130.0097	129.0116	137.7564	143.721	130.0519
ILMN_1652284	128.7626	120.5897	123.7611	122.0506	126.9489
ILMN_1652287	182.7371	128.0844	143.007	135.2295	132.0698
ILMN_1652291	133.521	129.1835	140.2216	132.5054	126.0218
ILMN_1652297	121.9948	107.2242	111.262	158.9995	143.9564
ILMN_1652300	121.4266	117.089	109.8694	153.6969	135.6344
ILMN_1652306	162.6408	146.1874	152.4496	123.9145	144.1803
ILMN_1652309	167.278	143.184	177.0733	121.2647	136.8683
ILMN_1652313	280.7532	237.5208	234.55	178.7835	183.7539
ILMN_1652314	134.3503	120.7832	144.7411	115.4449	138.1577
ILMN_1652319	119.7634	112.2064	122.2021	129.2275	165.8945
ILMN_1652331	551.6536	368.7537	248.3037	338.1057	346.6005
ILMN_1652333	1298.963	1167.998	1407.761	1390.761	1636.088
ILMN_1652342	128.6597	125.5977	132.4435	121.9263	135.4071
ILMN_1652343	125.991	145.8212	128.0618	123.8105	134.885
ILMN_1652348	133.1087	135.8933	135.7103	122.6848	128.4948
ILMN_1652357	122.6058	145.6442	163.2317	404.1275	535.9245
ILMN_1652365	134.522	135.2219	136.0618	123.532	117.4262
ILMN_1652366	115.0045	130.9581	108.776	115.5985	107.4688
ILMN_1652368	140.377	130.3466	127.4747	132.784	129.4907
ILMN_1652369	188.2822	289.9521	489.6642	287.2145	293.1547
ILMN_1652371	1388.052	1353.42	1518.568	335.9699	519.6603
