	GSM1287710	GSM1287711	GSM1287712	GSM1287713	GSM1287714	GSM1287715	GSM1287716	GSM1287717	GSM1287719	GSM1287721	GSM1287723	GSM1287724	GSM1287726	GSM1287728	GSM1287730	GSM1287731	GSM1287732	GSM1287733
hsa-miR-337-3p	-8.661039946	NA	NA	-8.814296935	NA	NA	NA	NA	-6.236988306	NA	-7.15966143	NA	NA	NA	-7.503933916	NA	-7.70347387	NA
hsa-miR-337-5p	-7.409128238	-6.29918942	-6.695579063	-8.718417736	NA	NA	-5.430648027	NA	-5.23856564	NA	-7.581410535	NA	NA	NA	-7.593232317	NA	-7.558420982	NA
hsa-miR-338-3p	-0.65690204	-0.121112444	-0.464986299	-0.203611788	0.031114308	-0.034820003	-0.172521222	-0.458166979	-0.389947695	0.254725045	-0.065676404	-0.60593158	-0.27877905	-0.100593717	-0.26465939	0.280344405	-0.683889728	-0.635727611
hsa-miR-339-5p	-0.849126601	-0.330868332	-1.000224797	-0.752254245	-1.263716499	-1.231524445	-0.848862326	-0.935424603	-1.192343809	-0.615539276	-0.955983776	-1.051116847	-1.171677876	-0.97629115	-0.577523714	-1.066609162	-0.773977931	-0.960330342
hsa-miR-33a	0.083716676	1.033240876	0.310226812	1.352132964	1.096790344	-0.250576883	NA	1.204155276	1.040524994	-0.642433291	0.610628529	NA	0.493002319	0.133083272	-0.630204303	0.072719206	NA	NA
hsa-miR-340	-3.708298502	-3.085359788	-3.592147503	-4.537403029	-4.101292422	-4.339439838	-4.221069223	-3.308340977	-3.957470649	-7.466523401	-3.620052897	-3.934950635	-4.414168642	-4.604468605	-3.82326456	-3.931165431	-5.140270205	-6.080551599
hsa-miR-342-3p	0.982980042	0.348220144	1.270095132	1.395861848	0.674246446	1.218115681	0.093080095	1.559882469	0.843729417	1.679762811	0.76600859	1.307475388	0.847129015	1.17760708	1.018857283	1.070091385	0.988704835	0.75911992
hsa-miR-346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-34a	-4.170791629	-3.818713156	-3.168791997	-3.754362666	-2.75753224	-2.617446009	-2.599082425	-2.521842969	-4.143241267	-1.804961478	-3.312678904	-2.564762024	-2.532669088	-2.080618934	-3.161026645	-1.673388947	-2.963562648	-1.329999346
hsa-miR-34b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-34c-5p	-8.52065396	-8.841411406	NA	-8.657072386	NA	NA	NA	-7.080502788	NA	NA	-8.561904237	-7.576628442	-7.372781638	-8.415921449	-9.275547474	-8.646543988	NA	NA
hsa-miR-361-3p	-2.485608016	-2.928134819	-2.041447527	-2.435770145	-2.5079431	-1.824137443	-2.744415984	-2.243795541	-2.525554732	-1.806397589	-2.687917892	-2.595648995	-1.884605443	-2.120999304	-3.32196941	-2.133500125	-1.936300493	-2.689781774
hsa-miR-361-5p	-8.633241008	-9.772597662	NA	NA	NA	NA	NA	-7.642172628	-8.682862444	NA	-7.713300143	NA	-7.305583405	NA	-8.180303882	-8.320739712	NA	NA
hsa-miR-362-5p	-8.370188768	-8.523562416	NA	-8.14513115	-7.885953074	-7.800477489	-8.17592342	-6.868935722	-8.721370546	-6.796809594	-8.125259845	-7.572555767	NA	-7.119125352	-7.284647204	-6.616859922	NA	-7.552652805
hsa-miR-363	-2.355804797	-3.090489054	-2.511583367	-2.615946731	-1.525592815	-1.661740035	-3.207318554	-2.295525509	-2.956461619	-2.41121463	-2.374330842	-1.731945081	-1.385310796	-2.075039006	-2.270263777	-1.568686954	-2.065513137	-1.287396648
hsa-miR-363*	NA	NA	NA	NA	NA	NA	-8.215620286	NA	NA	-6.960456616	NA	NA	NA	NA	NA	NA	NA	-7.600498895
hsa-miR-365	-4.297322621	-5.450661042	-5.044514728	-3.626116308	-4.944844209	-3.082129722	-5.758051774	-3.450445345	-4.967640801	-3.0503506	-3.769699089	-4.040702238	-3.267524712	-3.58635442	-3.607636497	-2.460188356	-3.840225758	-3.57528654
hsa-miR-369-5p	-5.632913756	-5.839074239	-4.234025626	-6.116885129	NA	-6.884975875	-4.277466196	-7.347589373	-3.684064707	NA	-5.891683659	-7.871652108	NA	NA	-6.425939521	-7.777122855	-7.062357528	-7.275225419
hsa-miR-370	-3.134447311	-2.709325076	-3.619724103	-4.21484508	-6.522397033	-4.157243807	-2.649525935	-5.253629726	-1.797649905	-5.009317206	-3.856014504	NA	-4.434302055	-8.137321687	-4.335583673	-6.413305912	-3.879571368	-3.700816922
hsa-miR-373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-373*	NA	-8.355005199	NA	NA	-6.928569704	-7.45438887	NA	-7.017831951	NA	NA	-7.808757701	NA	-7.350576944	-8.575292038	NA	NA	NA	NA
hsa-miR-374b	0.133209389	0.1595623	0.256995388	-0.125745093	0.002807547	-0.518072128	0.212733153	-0.113795889	0.333597061	-0.414157657	-0.402559969	-0.325349424	-0.445479407	-0.174672815	-0.121345378	-0.038694105	-0.228359789	-0.157378314
hsa-miR-374b*	-7.662646986	-7.520685278	-7.181576761	-8.076936583	-7.663296276	-7.306363368	-7.897194532	-7.260451366	-7.085354804	-6.922670929	-7.35118809	NA	NA	-8.73055029	-7.9085434	-8.027931492	NA	-6.889251519
hsa-miR-375	-8.561313227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-376a	-1.189460721	-0.766393072	-0.207147034	-2.257383973	-4.867563892	-2.50203872	-0.101340904	-3.679551223	0.460872741	-3.992097749	-2.094816763	-3.797323279	-2.828976296	-4.054401026	-1.701800706	-4.397749655	-2.110049943	-2.071070472
hsa-miR-376b	-3.157026332	-2.613266008	-2.043217748	-3.563552104	-6.793987795	-4.164942703	-1.858191238	-5.124923853	-1.408799503	-5.06082837	-3.711682187	-6.301198659	-5.904218505	-6.163178967	-4.255279147	-6.767848564	-4.14522425	-4.10271345
hsa-miR-376c	-1.740312778	-1.01922809	-0.739796827	-2.487647104	-4.245572381	-2.914810123	-0.346429531	-4.071937208	-0.10281838	-4.275332522	-2.500297745	-3.924934777	-3.466590344	-4.428002326	-2.077222676	-4.852409281	-2.569446352	-2.567481079
hsa-miR-377	-4.491359281	-4.044949941	-2.509714702	-5.749270575	-8.700485361	-6.093258628	-3.351311343	-6.298282261	-2.91065375	NA	-5.544667382	-7.491983057	-7.62042432	-6.485549821	-5.407917865	-7.468915493	-5.282268632	-5.414183933
hsa-miR-378	-1.346298729	-2.090457397	-1.635493588	-1.513919867	-0.504728955	-0.704429084	-2.101993191	-0.546655744	-1.943217318	-0.575287083	-1.05299383	-0.763667405	-0.449429551	-0.765450882	-1.166651226	-0.113619004	-1.208628596	-0.69909204
hsa-miR-379	-5.980968376	-5.717118791	-5.041186285	-5.682766324	NA	-6.989559126	-3.859430014	-6.681023114	-3.898956918	NA	-5.830117109	NA	-7.364884888	NA	-5.623729811	NA	-6.382990821	-6.95369328
