	ID	miRNA_ID	SPOT_ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-363	hsa-miR-363	hsa-miR-363		-2.18834240844444	-2.18834240844444	-16.5046616506796	5.919227416417089e-13	1.3175054572025099e-12	19.5017760925531
hsa-miR-550	hsa-miR-550	hsa-miR-550		-7.6920294033	-7.6920294033	-29.663885281661	2.72487927366012e-12	5.61243790694174e-12	18.822293167778803
hsa-miR-181c	hsa-miR-181c	hsa-miR-181c		-2.5363099105	-2.5363099105	-15.894119967073697	1.17938098020579e-12	2.5630641774551e-12	18.787217393392
hsa-miR-602	hsa-miR-602	hsa-miR-602		-7.09860015954546	-7.09860015954545	-25.6443119504515	3.0362339279903796e-12	6.1617688538628305e-12	18.6327061523196
hsa-miR-379	hsa-miR-379	hsa-miR-379		-5.84664806592308	-5.84664806592308	-20.8800691990378	2.8371639626348598e-12	5.80042410138682e-12	18.459424214439
hsa-miR-582-5p	hsa-miR-582-5p	hsa-miR-582-5p		-3.70730459744445	-3.7073045974444403	-15.5473312331861	1.7626393666819898e-12	3.8006911344080395e-12	18.3705642080958
hsa-miR-26a-2*	hsa-miR-26a-2*	hsa-miR-26a-2*		-8.588082568999999	-8.588082568999999	-58.4114678440907	1.81319753753635e-12	3.8793993826359105e-12	18.295711245452896
hsa-miR-138	hsa-miR-138	hsa-miR-138		-7.81132249766667	-7.81132249766667	-33.194187071011804	4.78683013736533e-12	9.57366027473065e-12	18.2879539622256
hsa-let-7e	hsa-let-7e	hsa-let-7e		-1.34990622872222	-1.34990622872222	-15.4399126487992	1.99938422307303e-12	4.24484650437043e-12	18.239865498732897
hsa-miR-34a	hsa-miR-34a	hsa-miR-34a		-2.83197068733333	-2.83197068733333	-15.3942742125445	2.10983766194442e-12	4.44515415798977e-12	18.184097612198396
hsa-miR-100	hsa-miR-100	hsa-miR-100		-6.898478484666669	-6.898478484666669	-21.9647437683419	5.22896420781815e-12	1.03085294382701e-11	17.957210209187103
hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p		-6.16578399935714	-6.16578399935714	-18.595275707072698	4.64880478750797e-12	9.365475338337221e-12	17.8192153601108
hsa-miR-449a	hsa-miR-449a	hsa-miR-449a		-8.444719733125	-8.444719733125	-38.24594558388029	8.32952115174178e-12	1.63045945948988e-11	17.6643055703087
hsa-miR-185	hsa-miR-185	hsa-miR-185		1.47346803861111	1.47346803861111	14.6663196714499	5.069141956106099e-12	1.0065346617879699e-11	17.274781255244
hsa-miR-124	hsa-miR-124	hsa-miR-124		-7.05635547669231	-7.05635547669231	-18.9922719431311	1.07938052111625e-11	2.0832798869096898e-11	17.0743909817376
hsa-miR-193a-5p	hsa-miR-193a-5p	hsa-miR-193a-5p		-8.408733380125	-8.408733380125	-34.8342131798941	2.0282432488035e-11	3.7570143400655396e-11	16.8661075616274
hsa-miR-222	hsa-miR-222	hsa-miR-222		1.9782331684999999	1.9782331684999999	14.190620225164402	9.1706135806311e-12	1.78245728750295e-11	16.6595976549766
hsa-miR-668	hsa-miR-668	hsa-miR-668		-7.59154379942857	-7.59154379942857	-44.4249570263986	1.88855902108978e-11	3.53873224037081e-11	16.6320447192588
hsa-miR-361-5p	hsa-miR-361-5p	hsa-miR-361-5p		-8.2813501105	-8.2813501105	-33.2813334747055	3.13021450829186e-11	5.72145168403015e-11	16.4672758656625
hsa-miR-1	hsa-miR-1	hsa-miR-1		-3.5828170901111096	-3.5828170901111096	-13.8134330990239	1.48490979312089e-11	2.82644898552666e-11	16.1594003073787
hsa-miR-671-5p	hsa-miR-671-5p	hsa-miR-671-5p		-5.54303909277778	-5.54303909277778	-26.5944355881251	4.8762288375438e-11	8.79633437360843e-11	16.0304555447084
hsa-miR-31*	hsa-miR-31*	hsa-miR-31*		-8.51325154733333	-8.51325154733333	-64.25746274792711	1.16545973825979e-11	2.2337978316646102e-11	16.029402954600503
hsa-miR-377	hsa-miR-377	hsa-miR-377		-5.58030566735294	-5.58030566735294	-14.2428435522482	1.8975810564307302e-11	3.53873224037081e-11	16.0059784130451
hsa-miR-411	hsa-miR-411	hsa-miR-411		-4.85557200633333	-4.85557200633333	-13.296254533622802	2.92722045944666e-11	5.38608564538185e-11	15.4548757839098
hsa-miR-146b-5p	hsa-miR-146b-5p	hsa-miR-146b-5p		-1.79005939555556	-1.79005939555556	-12.879677791203802	5.1370741522849505e-11	9.20670432487432e-11	14.870979642174198
hsa-miR-373*	hsa-miR-373*	hsa-miR-373*		-7.64148891528572	-7.64148891528571	-34.373297818765	1.6900498580086e-10	2.9522389924707197e-10	14.804507905079
hsa-miR-381	hsa-miR-381	hsa-miR-381		-6.77200007744444	-6.77200007744444	-23.3471172940274	1.89497259165038e-10	3.2688277205968996e-10	14.666130989032302
hsa-miR-452	hsa-miR-452	hsa-miR-452		-6.99125176181818	-6.99125176181818	-18.1137329945633	2.1637550945809e-10	3.7092944478529797e-10	14.2390949097143
hsa-miR-329	hsa-miR-329	hsa-miR-329		-5.43397640207143	-5.43397640207143	-14.7371288943718	1.4486196359319601e-10	2.54661795870842e-10	14.234426374565
hsa-miR-27b	hsa-miR-27b	hsa-miR-27b		2.8616280136000003	2.8616280136000003	19.7775336026876	2.74021280204112e-10	4.63986952983649e-10	14.146605973543
hsa-miR-382	hsa-miR-382	hsa-miR-382		-3.9400232427222206	-3.9400232427222206	-12.285671004804001	1.17530197607978e-10	2.0927957767614202e-10	14.011718637681902
hsa-miR-337-5p	hsa-miR-337-5p	hsa-miR-337-5p		-6.947176884222221	-6.947176884222221	-20.6436315700983	6.79569915941328e-10	1.0717788388560402e-09	13.3599245253617
hsa-miR-708	hsa-miR-708	hsa-miR-708		-7.1724442399090895	-7.1724442399090895	-16.8538642554779	5.18493477318122e-10	8.224379295390899e-10	13.3260161244497
hsa-miR-576-3p	hsa-miR-576-3p	hsa-miR-576-3p		-7.697155277142861	-7.697155277142861	-28.321737710559898	8.797149653644649e-10	1.3564320136345901e-09	13.2910591653055
hsa-miR-204	hsa-miR-204	hsa-miR-204		-7.25989215766667	-7.25989215766667	-20.4993134613893	7.30745481543604e-10	1.1459417778752e-09	13.285101808852
hsa-miR-148a	hsa-miR-148a	hsa-miR-148a		-2.0367899515	-2.0367899515	-12.6503929322825	2.89759494135518e-10	4.87644026715872e-10	13.2749095095892
