#  The average normalized Cp of the samples in a control or test group.				
# reports the average normalized Cp of the samples in control or test group.

ID_REF	AVERAGE SAMPLE 1-4	AVERAGE SAMPLE 5-9	AVERAGE SAMPLE 10-13	AVERAGE SAMPLE 14-18
design_target_name	Healthy-control	sCAD	STEMI d0	STEMI d5
hsa-miR-494	-8.662981387	-7.932854001	#DIV/0!	-9.311276241
hsa-miR-363*	#DIV/0!	-8.215620286	-6.960456616	-7.600498895
hsa-miR-218	#DIV/0!	#DIV/0!	-7.324735751	-8.115996985
hsa-miR-483-3p	#DIV/0!	-8.329958895	#DIV/0!	-8.126099739
hsa-miR-518c*	-8.764631299	-7.853008344	#DIV/0!	-7.864317146
hsa-miR-886-5p	-5.522586193	-5.025103654	#DIV/0!	#DIV/0!
hsa-miR-499-5p	-8.65445755	-8.212339168	#DIV/0!	#DIV/0!
hsa-miR-429	-8.447562936	-8.628512985	#DIV/0!	#DIV/0!
hsa-miR-299-3p	-9.009486039	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518f	#DIV/0!	#DIV/0!	#DIV/0!	-8.560520108
hsa-miR-520c-3p	-9.985011707	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-517c	#DIV/0!	-8.438495841	#DIV/0!	-8.872998079
hsa-miR-595	#DIV/0!	-2.237016143	#DIV/0!	#DIV/0!
hsa-miR-96	#DIV/0!	#DIV/0!	#DIV/0!	-8.234464638
hsa-miR-9*	#DIV/0!	-7.913822168	#DIV/0!	#DIV/0!
hsa-miR-519e*	#DIV/0!	-7.980798791	#DIV/0!	#DIV/0!
hsa-miR-658	#DIV/0!	#DIV/0!	-8.328676401	#DIV/0!
hsa-miR-572	#DIV/0!	#DIV/0!	-7.634698806	#DIV/0!
hsa-miR-617	#DIV/0!	#DIV/0!	#DIV/0!	-8.642602069
hsa-miR-765	#DIV/0!	-8.786628346	#DIV/0!	#DIV/0!
hsa-miR-519d	-8.807071608	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-548c-3p	#DIV/0!	-8.010661475	#DIV/0!	#DIV/0!
hsa-miR-217	#DIV/0!	#DIV/0!	-7.555627664	#DIV/0!
hsa-miR-596	#DIV/0!	#DIV/0!	-7.848597318	#DIV/0!
hsa-miR-375	-8.561313227	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-623	#DIV/0!	#DIV/0!	#DIV/0!	-9.240208936
hsa-miR-933	-8.892139593	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-509-3p	#DIV/0!	-9.378458831	#DIV/0!	#DIV/0!
hsa-miR-518a-3p	#DIV/0!	#DIV/0!	#DIV/0!	-8.851088957
hsa-miR-122	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-129-5p	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-134	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
