SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-220a	0	-0.461864	1.54846	0
hsa-miR-220b	0	-1.3142	1.54785	0
hsa-miR-220c	0	-1.55408	1.54858	0
hsa-miR-221	0	5707.61	475.585	1
hsa-miR-221*	0	272.026	22.5038	1
hsa-miR-222	0	150.516	14.5027	1
hsa-miR-222*	0	0.439646	1.55446	0
hsa-miR-223	0	104320	7994.09	1
hsa-miR-223*	0	141.042	11.0357	1
hsa-miR-224	0	432.331	33.0055	1
hsa-miR-23a	0	27809.8	2215.53	1
hsa-miR-23a*	0	11.8266	1.79085	1
hsa-miR-23b	0	7630.21	628.094	1
hsa-miR-23b*	0	16.1468	2.00463	1
hsa-miR-24	0	27373.2	1980.81	1
hsa-miR-24-1*	0	165.928	13.5264	1
hsa-miR-24-2*	0	-2.39008	1.54716	0
hsa-miR-25	0	4461.74	404.554	1
hsa-miR-25*	0	1.01593	1.55382	0
hsa-miR-26a	0	13076.9	1039.36	1
hsa-miR-26a-1*	0	15.3824	2.03183	1
hsa-miR-26a-2*	0	0.785767	1.55017	0
hsa-miR-26b	0	6098.23	453.53	1
hsa-miR-26b*	0	13.9272	1.87552	1
hsa-miR-27a	0	30499.9	2467.21	1
hsa-miR-27a*	0	-1.20806	1.54851	0
hsa-miR-27b	0	9686.19	773.027	1
hsa-miR-27b*	0	0.0180075	1.54942	0
hsa-miR-28-3p	0	1.20556	1.55334	0
hsa-miR-28-5p	0	2489.56	189.016	1
hsa-miR-296-3p	0	-1.5519	1.54834	0
hsa-miR-296-5p	0	5.47964	2.23166	0
hsa-miR-297	0	-0.426074	1.54859	0
hsa-miR-298	0	-1.96643	1.54728	0
hsa-miR-299-3p	0	18.7907	2.62618	1
hsa-miR-299-5p	0	57.1047	5.40101	1
hsa-miR-29a	0	2678.02	226.324	1
hsa-miR-29a*	0	1.69799	1.55576	0
hsa-miR-29b	0	862.621	80.6444	1
hsa-miR-29b-1*	0	14.8653	1.82574	1
hsa-miR-29b-2*	0	1.35808	1.56188	0
hsa-miR-29c	0	3176.46	225.348	1
hsa-miR-29c*	0	119.295	10.5569	1
hsa-miR-300	0	-0.278197	1.54888	0
hsa-miR-301a	0	1621.92	140.667	1
hsa-miR-301b	0	129.678	10.8085	1
hsa-miR-302a	0	0.391489	2.19191	0
hsa-miR-302a*	0	-0.0113025	1.55099	0
hsa-miR-302b	0	0.420002	1.55026	0
hsa-miR-302b*	0	-0.927253	1.54804	0
hsa-miR-302c	0	-0.222732	1.79519	0
hsa-miR-302c*	0	-0.321695	2.19192	0
hsa-miR-302d	0	-0.882202	1.79559	0
hsa-miR-302d*	0	5.84359	1.59686	1
hsa-miR-30a	0	354.754	31.0488	1
hsa-miR-30a*	0	56.4889	4.76287	1
hsa-miR-30b	0	3541	282.138	1
hsa-miR-30b*	0	42.3539	4.53484	1
hsa-miR-30c	0	2021.75	185.68	1
hsa-miR-30c-1*	0	15.3923	2.1181	1
hsa-miR-30c-2*	0	2.96843	2.20761	0
hsa-miR-30d	0	8560.76	617.944	1
hsa-miR-30d*	0	20.8339	2.09906	1
hsa-miR-30e	0	3035.48	258.219	1
hsa-miR-30e*	0	815.669	67.8794	1
hsa-miR-31	0	1.30718	2.1957	0
hsa-miR-31*	0	-0.833727	2.19007	0
hsa-miR-32	0	44.6661	3.18911	1
hsa-miR-32*	0	4.68491	1.57019	0
hsa-miR-320	0	2776.57	255.272	1
hsa-miR-323-3p	0	46.5446	4.04974	1
hsa-miR-323-5p	0	-1.82964	1.54733	0
hsa-miR-324-3p	0	1840.74	148.033	1
hsa-miR-324-5p	0	1593.67	124.733	1
hsa-miR-325	0	-1.52432	1.5483	0
hsa-miR-326	0	674.072	54.3054	1
hsa-miR-328	0	576.251	53.8287	1
hsa-miR-329	0	16.8699	2.62326	1
hsa-miR-330-3p	0	256.827	22.3124	1
hsa-miR-330-5p	0	1.57735	1.55387	0
hsa-miR-331-3p	0	6500.84	511.441	1
hsa-miR-331-5p	0	-0.612822	1.54923	0
hsa-miR-335	0	163.895	15.2979	1
hsa-miR-335*	0	15.2208	1.76501	1
hsa-miR-337-3p	0	20.2642	2.66807	1
hsa-miR-337-5p	0	69.8414	5.96995	1
hsa-miR-338-3p	0	484.661	43.362	1
hsa-miR-338-5p	0	-0.366161	1.54791	0
hsa-miR-339-3p	0	28.0093	2.80466	1
hsa-miR-339-5p	0	0.407686	1.5609	0
hsa-miR-33a	0	176.839	15.8246	1
hsa-miR-33a*	0	-2.42001	1.54705	0
